time,open,high,low,close,Volume,Volume MA
1557694800,0.6992,0.70007,0.69408,0.69442,168537,133084.7
1557781200,0.69442,0.69595,0.6935,0.69437,138499,133422
1557867600,0.69437,0.69465,0.69148,0.69278,153387,134132.2
1557954000,0.69278,0.6933,0.68864,0.68909,141174,134769
1558040400,0.68909,0.68972,0.68647,0.6866,143190,139741.05
1558299600,0.6910999999999999,0.69342,0.68901,0.69063,124896,143044.05
1558386000,0.69063,0.69291,0.68663,0.68833,155651,145656.05
1558472400,0.68833,0.68967,0.68712,0.68807,114384,143522.35
1558558800,0.68807,0.6900499999999999,0.68648,0.68985,141050,144321.2
1558645200,0.68985,0.69346,0.68813,0.69252,120676,143401.9
1558904400,0.693,0.69385,0.69131,0.69168,89365,143939.05
1558990800,0.69168,0.69358,0.69126,0.69234,137910,144720.4
1559077200,0.69234,0.69316,0.69041,0.69168,146900,146107.95
1559163600,0.69168,0.69368,0.68987,0.69114,123632,146527.6
1559250000,0.69114,0.69442,0.69009,0.69359,207048,151131.3
1559509200,0.69262,0.69826,0.6926,0.6977,195102,153149.15
1559595600,0.6977,0.7004,0.69568,0.69909,213435,155421.35
1559682000,0.69909,0.70075,0.69625,0.69687,208834,156796.5
1559768400,0.69687,0.69944,0.69621,0.69762,253817,160641.8
1559854800,0.69762,0.70222,0.69641,0.6998,245424,161145.55
1560114000,0.70045,0.70067,0.69568,0.69568,193876,162412.5
1560200400,0.69568,0.69666,0.6947,0.6961499999999999,192283,165101.7
1560286800,0.6961499999999999,0.69636,0.69252,0.69279,207820,167823.35
1560373200,0.69279,0.69386,0.69013,0.69147,209119,171220.6
1560459600,0.69147,0.69182,0.68613,0.68691,174786,172800.4
1560718800,0.68721,0.68846,0.68487,0.68526,126975,172904.35
1560805200,0.68526,0.68819,0.6831699999999999,0.68759,176914,173967.5
1560891600,0.68759,0.6909,0.6855,0.6879,193412,177918.9
1560978000,0.6879,0.69359,0.6878,0.69224,245342,183133.5
1561064400,0.69224,0.69379,0.69034,0.6924,215324,187865.9
1561323600,0.69301,0.69686,0.69289,0.69622,188178,192806.55
1561410000,0.69622,0.69782,0.69416,0.69603,304484,201135.25
1561496400,0.69603,0.69949,0.69505,0.69845,228643,205222.4
1561582800,0.69845,0.70089,0.69833,0.70082,166175,207349.55
1561669200,0.70082,0.7023,0.69982,0.70219,168430,205418.65
1561928400,0.7031499999999999,0.70348,0.69561,0.69639,164764,203901.75
